block_height,timestamp,mining_time_sec,nonce_attempts,difficulty,reward_jack,tx_count,is_fork,block_hash_prefix
1,2026-02-19 12:38:34,0.35,17409,4,50.0,10,True,00002d4d
2,2026-02-19 12:38:34,2.35,117644,4,50.0,16,False,0000f033
3,2026-02-19 12:39:34,1.74,86956,4,50.0,2,False,0000278f
4,2026-02-19 12:40:34,1.16,58208,4,50.0,2,False,000078cb
5,2026-02-19 12:41:34,0.04,2126,4,50.0,6,False,00005b8a
6,2026-02-19 12:42:34,1.2,59760,4,50.0,20,False,000041d5
7,2026-02-19 12:43:34,4.65,232362,4,50.0,8,False,00009166
8,2026-02-19 12:44:34,2.21,110509,4,50.0,12,False,00003922
9,2026-02-19 12:45:34,0.49,24506,4,50.0,10,False,00004f4e
10,2026-02-19 12:46:34,0.72,36138,4,50.0,16,False,00005b4c
11,2026-02-19 12:47:34,0.04,2063,4,50.0,19,False,00006d96
12,2026-02-19 12:48:34,0.62,31231,4,50.0,8,False,0000de43
13,2026-02-19 12:49:34,0.04,2001,4,50.0,14,False,0000ab2e
14,2026-02-19 12:50:34,1.82,90915,4,50.0,18,False,00008b47
15,2026-02-19 12:51:34,0.78,38776,4,50.0,19,False,0000ea28
16,2026-02-19 12:52:34,0.28,13990,4,50.0,0,False,0000450b
17,2026-02-19 12:53:34,0.1,5242,4,50.0,5,False,0000c042
18,2026-02-19 12:54:34,2.45,122451,4,50.0,15,False,0000431b
19,2026-02-19 12:55:34,0.86,43055,4,50.0,13,False,00008a59
20,2026-02-19 12:56:34,0.73,36455,4,50.0,4,False,0000c9f3
21,2026-02-19 12:57:34,0.41,20329,4,50.0,20,False,0000f4f1
22,2026-02-19 12:58:35,2.36,117907,4,50.0,6,False,0000e048
23,2026-02-19 12:59:35,1.62,80887,4,50.0,8,True,0000e6e1
24,2026-02-19 13:00:35,0.84,41882,4,50.0,0,True,00003abe
25,2026-02-19 13:01:35,3.76,188007,4,50.0,17,False,00000680
26,2026-02-19 13:02:35,2.33,116475,4,50.0,9,False,00003d30
27,2026-02-19 13:03:35,2.43,121386,4,50.0,14,True,0000909a
28,2026-02-19 13:04:35,2.98,148881,4,50.0,14,False,0000bd0d
29,2026-02-19 13:05:35,1.56,77988,4,50.0,1,True,00006193
30,2026-02-19 13:06:35,1.0,49760,4,50.0,0,False,0000032c
31,2026-02-19 13:07:35,0.01,415,4,50.0,11,False,00007a01
32,2026-02-19 13:08:35,0.35,17478,4,50.0,14,False,00002141
33,2026-02-19 13:09:35,1.44,72157,4,50.0,9,False,000065ef
34,2026-02-19 13:10:35,0.73,36742,4,50.0,9,False,00000374
35,2026-02-19 13:11:35,2.02,100988,4,50.0,18,False,0000d6d1
36,2026-02-19 13:12:35,1.55,77463,4,50.0,11,False,0000cca7
37,2026-02-19 13:13:35,0.85,42275,4,50.0,4,False,000019a7
38,2026-02-19 13:14:35,0.49,24464,4,50.0,4,False,00000c0c
